item,control,key,subject,detail,severity,kind
135,S1,E0132|ERP:payment_run|ERP:bank_recon,E0132,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
136,S1,E0133|ERP:payment_run|ERP:bank_recon,E0133,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
137,S1,E0134|ERP:vendor_create|ERP:payment_run,E0134,Treasury Officer (Finance) holds ERP:vendor_create and ERP:payment_run: create a vendor and pay it,High,injected
138,S1,E0134|ERP:payment_run|ERP:bank_recon,E0134,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
139,S1,E0135|ERP:payment_run|ERP:bank_recon,E0135,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
140,S1,E0136|ERP:payment_run|ERP:bank_recon,E0136,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
141,S1,E0137|ERP:payment_run|ERP:bank_recon,E0137,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
142,S1,E0138|ERP:payment_run|ERP:bank_recon,E0138,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
143,S1,E0139|ERP:payment_run|ERP:bank_recon,E0139,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
144,S1,E0140|ERP:payment_run|ERP:bank_recon,E0140,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
145,S1,E0141|ERP:payment_run|ERP:bank_recon,E0141,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
146,S1,E0142|ERP:payment_run|ERP:bank_recon,E0142,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
147,S1,E0143|ERP:payment_run|ERP:bank_recon,E0143,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
148,S1,E0144|ERP:payment_run|ERP:bank_recon,E0144,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
149,S1,E0145|ERP:payment_run|ERP:payment_approve,E0145,Treasury Officer (Finance) holds ERP:payment_run and ERP:payment_approve: prepare and approve the same payment run,High,injected
150,S1,E0145|ERP:payment_run|ERP:bank_recon,E0145,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
151,S1,E0146|ERP:payment_run|ERP:bank_recon,E0146,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
152,S1,E0170|ERP:gl_journal_post|ERP:gl_journal_approve,E0170,Financial Accountant (Finance) holds ERP:gl_journal_post and ERP:gl_journal_approve: post and approve the same journal,High,injected
153,S1,E0187|ERP:payment_run|ERP:bank_recon,E0187,Treasury Officer (Finance) holds ERP:payment_run and ERP:bank_recon: pay and reconcile the bank,High,design
154,S1,E0219|ERP:po_create|ERP:po_approve,E0219,Procurement Officer (Procurement) holds ERP:po_create and ERP:po_approve: raise and approve the same purchase order,High,injected
155,S1,E0259|ERP:po_create|ERP:po_approve,E0259,Procurement Officer (Procurement) holds ERP:po_create and ERP:po_approve: raise and approve the same purchase order,High,injected
156,S1,E0301|HRIS:employee_edit|PAYROLL:payroll_run,E0301,HR Officer (Human Resources) holds HRIS:employee_edit and PAYROLL:payroll_run: create an employee and pay them,High,injected
157,S1,E0311|HRIS:employee_edit|PAYROLL:payroll_run,E0311,HR Officer (Human Resources) holds HRIS:employee_edit and PAYROLL:payroll_run: create an employee and pay them,High,injected
158,S1,E0313|HRIS:employee_edit|PAYROLL:payroll_run,E0313,Payroll Officer (Human Resources) holds HRIS:employee_edit and PAYROLL:payroll_run: create an employee and pay them,High,consequence
159,S1,E0372|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0372,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
160,S1,E0373|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0373,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
161,S1,E0374|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0374,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
162,S1,E0375|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0375,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
163,S1,E0376|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0376,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
164,S1,E0377|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0377,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
165,S1,E0378|PAYROLL:payroll_approve|PAYROLL:bank_file_release,E0378,Payroll Manager (Human Resources) holds PAYROLL:payroll_approve and PAYROLL:bank_file_release: approve payroll and release the bank file,High,design
166,S1,E0936|ERP:po_create|ERP:po_approve,E0936,Operations Manager (Operations) holds ERP:po_create and ERP:po_approve: raise and approve the same purchase order,High,injected
167,F1,E0965,E0965,"40 claims between RM900 and RM1,000 (82% of their claims) — splitting to stay under the limit",High,injected
168,F1,E1033,E1033,"40 claims between RM900 and RM1,000 (77% of their claims) — splitting to stay under the limit",High,injected
169,F1,E1043,E1043,"40 claims between RM900 and RM1,000 (73% of their claims) — splitting to stay under the limit",High,injected
170,F1,EXP-010945,EXP-010945,"duplicate: E0413, RM17.69 on 2025-07-08",Medium,injected
171,F1,EXP-010936,EXP-010936,"duplicate: E0744, RM160.02 on 2025-07-20",Medium,injected
172,F1,EXP-010935,EXP-010935,"duplicate: E0882, RM1,010.24 on 2025-07-26",Medium,injected
173,F1,EXP-010946,EXP-010946,"duplicate: E1166, RM127.34 on 2025-08-04",Medium,injected
174,F1,EXP-010934,EXP-010934,"duplicate: E0143, RM30.85 on 2025-08-18",Medium,injected
175,F1,EXP-010933,EXP-010933,"duplicate: E0476, RM64.48 on 2025-09-09",Medium,injected
176,F1,EXP-010938,EXP-010938,"duplicate: E0641, RM52.26 on 2025-10-10",Medium,injected
177,F1,EXP-010943,EXP-010943,"duplicate: E0376, RM80.69 on 2025-10-25",Medium,injected
178,F1,EXP-010941,EXP-010941,"duplicate: E0505, RM61.50 on 2025-12-13",Medium,injected
179,F1,EXP-010944,EXP-010944,"duplicate: E0212, RM258.68 on 2026-02-08",Medium,injected
180,F1,EXP-010939,EXP-010939,"duplicate: E1177, RM58.76 on 2026-02-21",Medium,injected
181,F1,EXP-010942,EXP-010942,"duplicate: E1032, RM277.69 on 2026-02-25",Medium,injected
182,F1,EXP-010937,EXP-010937,"duplicate: E0656, RM347.29 on 2026-03-25",Medium,injected
183,F1,EXP-010940,EXP-010940,"duplicate: E0102, RM40.01 on 2026-03-26",Medium,injected
184,F1,EXP-010932,EXP-010932,"duplicate: E1064, RM87.84 on 2026-06-29",Medium,injected
185,F1,EXP-003132,EXP-003132,approved by the claimant: RM21.41 on 2025-07-04,High,injected
186,F1,EXP-002179,EXP-002179,approved by the claimant: RM133.13 on 2025-10-21,High,injected
187,F1,EXP-009428,EXP-009428,approved by the claimant: RM63.86 on 2025-11-22,High,injected
188,F1,EXP-000659,EXP-000659,approved by the claimant: RM95.02 on 2026-02-12,High,injected
189,F1,EXP-006353,EXP-006353,approved by the claimant: RM156.88 on 2026-02-13,High,injected
190,F1,EXP-010460,EXP-010460,approved by the claimant: RM301.43 on 2026-03-09,High,injected
191,F1,EXP-009876,EXP-009876,approved by the claimant: RM94.52 on 2026-03-29,High,injected
192,F1,EXP-005979,EXP-005979,approved by the claimant: RM34.82 on 2026-04-25,High,injected
193,F1,EXP-001028,EXP-001028,approved by the claimant: RM238.41 on 2026-05-18,High,injected
194,F1,EXP-008422,EXP-008422,approved by the claimant: RM67.84 on 2026-06-19,High,injected
195,F1,E0641,E0641,25 claims in round fifties (66% of their claims),Medium,injected
