event_id,date,account_id,entitlement,action,requester_id,ticket_id,ticket_status,approver_id
CHG-00031,2025-08-31,ad.e0176,AD:user,grant,E0193,REQ-20031,Approved,E0436
CHG-00327,2025-09-01,ad.e0805,*,disable,E0334,REQ-20327,Approved,E0436
CHG-00080,2025-09-02,hris.e0369,HRIS:employee_view,grant,E0340,REQ-20080,Approved,E0334
CHG-00079,2025-09-02,ad.e0369,AD:user,grant,E0340,REQ-20079,Approved,E0436
CHG-00081,2025-09-04,payroll.e0369,PAYROLL:payroll_run,grant,E0340,REQ-20081,Approved,E0372
CHG-00082,2025-09-04,payroll.e0369,PAYROLL:payroll_view,grant,E0340,REQ-20082,Approved,E0372
CHG-00202,2025-09-05,erp.e1105,ERP:customer_view,grant,E0953,REQ-20202,Approved,E0101
CHG-00116,2025-09-05,ad.e0543,AD:user,grant,E0914,REQ-20116,Approved,E0436
CHG-00370,2025-09-05,ad.e1092,*,disable,E0334,REQ-20370,Approved,E0436
CHG-00100,2025-09-07,ad.e0422,AD:helpdesk,grant,E0379,REQ-20100,Approved,E0436
CHG-00099,2025-09-07,ad.e0422,AD:user,grant,E0379,REQ-20099,Approved,E0436
CHG-00371,2025-09-08,erp.e1092,*,disable,E0334,REQ-20371,Approved,E0101
CHG-00198,2025-09-10,payroll.e1096,PAYROLL:payroll_view,grant,E0968,REQ-20198,Approved,E0372
CHG-00016,2025-09-12,ad.e0108,AD:user,grant,E0210,REQ-20016,Approved,E0436
CHG-00018,2025-09-13,erp.e0108,ERP:customer_view,grant,E0210,REQ-20018,Approved,E0101
CHG-00017,2025-09-13,erp.e0108,ERP:ar_receipts,grant,E0210,REQ-20017,Approved,E0101
CHG-00346,2025-09-15,ad.e0960,*,disable,E0334,REQ-20346,Approved,E0436
CHG-00347,2025-09-16,erp.e0960,*,disable,E0334,REQ-20347,Approved,E0101
CHG-00286,2025-09-16,ad.e0426,*,disable,E0334,REQ-20286,Approved,E0436
CHG-00215,2025-09-17,erp.e0923,ERP:po_approve,grant,E0914,REQ-20215,Approved,E0101
CHG-00144,2025-09-17,ad.e0836,AD:user,grant,E0899,REQ-20144,Approved,E0436
CHG-00129,2025-09-18,erp.e0643,ERP:po_create,grant,E0921,REQ-20129,Approved,E0101
CHG-00315,2025-09-18,ad.e0656,*,disable,E0334,REQ-20315,Approved,E0436
CHG-00130,2025-09-18,erp.e0643,ERP:gl_reporting,grant,E0921,REQ-20130,Approved,E0101
CHG-00232,2025-09-18,ad.e0076,*,disable,E0334,REQ-20232,Approved,E0436
CHG-00233,2025-09-19,erp.e0076,*,disable,E0334,REQ-20233,Approved,E0101
CHG-00295,2025-09-19,erp.e0469,*,disable,E0334,REQ-20295,Approved,E0101
CHG-00294,2025-09-22,ad.e0469,*,disable,E0334,REQ-20294,Approved,E0436
CHG-00013,2025-09-23,ad.e0105,AD:user,grant,E0199,REQ-20013,Approved,E0436
CHG-00014,2025-09-24,erp.e0105,ERP:ar_receipts,grant,E0199,REQ-20014,Approved,E0101
CHG-00015,2025-09-24,erp.e0105,ERP:customer_view,grant,E0199,REQ-20015,Approved,E0101
CHG-00148,2025-09-25,ad.e0866,AD:user,grant,E0921,REQ-20148,Approved,E0436
CHG-00331,2025-09-25,ad.e0842,*,disable,E0334,REQ-20331,Approved,E0436
CHG-00139,2025-09-26,ad.e0789,AD:user,grant,E0897,REQ-20139,Approved,E0436
CHG-00316,2025-09-29,ad.e0675,*,disable,E0334,REQ-20316,Approved,E0436
CHG-00126,2025-10-01,ad.e0610,AD:user,grant,E0907,REQ-20126,Approved,E0436
CHG-00028,2025-10-05,ad.e0159,AD:user,grant,E0202,REQ-20028,Approved,E0436
CHG-00030,2025-10-06,erp.e0159,ERP:gl_reporting,grant,E0202,REQ-20030,Approved,E0101
CHG-00029,2025-10-06,erp.e0159,ERP:gl_journal_post,grant,E0202,REQ-20029,Approved,E0101
CHG-00302,2025-10-08,ad.e0495,*,disable,E0334,REQ-20302,Approved,E0436
CHG-00299,2025-10-09,erp.e0474,*,disable,E0334,REQ-20299,Approved,E0101
CHG-00388,2025-10-09,ad.e1199,*,disable,E0334,REQ-20388,Approved,E0436
CHG-00143,2025-10-10,ad.e0833,AD:user,grant,E0925,REQ-20143,Approved,E0436
CHG-00298,2025-10-10,ad.e0474,*,disable,E0334,REQ-20298,Approved,E0436
CHG-00036,2025-10-11,erp.e0187,ERP:vendor_view,grant,E0198,REQ-20036,Approved,E0101
CHG-00035,2025-10-11,erp.e0187,ERP:bank_recon,grant,E0198,REQ-20035,Approved,E0101
CHG-00034,2025-10-11,erp.e0187,ERP:payment_run,grant,E0198,REQ-20034,Approved,E0101
CHG-00200,2025-10-12,erp.e1099,ERP:customer_view,grant,E1097,REQ-20200,Approved,E0101
CHG-00201,2025-10-12,erp.e1099,ERP:gl_reporting,grant,E1097,REQ-20201,Approved,E0101
CHG-00199,2025-10-14,ad.e1099,AD:user,grant,E1097,REQ-20199,Approved,E0436
CHG-00323,2025-10-14,ad.e0753,*,disable,E0334,REQ-20323,Approved,E0436
CHG-00105,2025-10-16,ad.e0477,AD:user,grant,E0906,REQ-20105,Approved,E0436
CHG-00176,2025-10-17,erp.e1027,ERP:customer_view,grant,E0988,REQ-20176,Approved,E0101
CHG-00177,2025-10-17,erp.e1027,ERP:ar_receipts,grant,E0988,REQ-20177,Approved,E0101
CHG-00175,2025-10-17,ad.e1027,AD:user,grant,E0988,REQ-20175,Approved,E0436
CHG-00001,2025-10-17,erp.e0014,ERP:ar_receipts,grant,E0199,REQ-20001,Approved,E0101
CHG-00002,2025-10-17,erp.e0014,ERP:customer_view,grant,E0199,REQ-20002,Approved,E0101
CHG-00109,2025-10-20,erp.e0507,ERP:po_create,grant,E0930,REQ-20109,Approved,E0507
CHG-00110,2025-10-20,erp.e0507,ERP:gl_reporting,grant,E0930,REQ-20110,Approved,E0101
CHG-00291,2025-10-22,ad.e0462,*,disable,E0334,REQ-20291,Approved,E0436
CHG-00039,2025-10-24,erp.e0206,ERP:ap_invoice_approve,grant,E0203,REQ-20039,Approved,E0101
CHG-00038,2025-10-24,erp.e0206,ERP:payment_approve,grant,E0203,REQ-20038,Approved,E0101
CHG-00037,2025-10-24,erp.e0206,ERP:gl_journal_approve,grant,E0203,REQ-20037,Approved,E0101
CHG-00089,2025-10-24,hris.e0377,HRIS:employee_view,grant,E0344,REQ-20089,Approved,E0334
CHG-00090,2025-10-24,payroll.e0377,PAYROLL:payroll_approve,grant,E0344,REQ-20090,Approved,E0372
CHG-00091,2025-10-24,payroll.e0377,PAYROLL:bank_file_release,grant,E0344,REQ-20091,Approved,E0372
CHG-00092,2025-10-24,payroll.e0377,PAYROLL:payroll_view,grant,E0344,REQ-20092,Approved,E0372
CHG-00025,2025-10-24,ad.e0157,AD:user,grant,E0195,REQ-20025,Approved,E0436
CHG-00027,2025-10-26,erp.e0157,ERP:gl_reporting,grant,E0195,REQ-20027,Approved,E0101
CHG-00088,2025-10-26,ad.e0377,AD:user,grant,E0344,REQ-20088,Approved,E0436
CHG-00026,2025-10-26,erp.e0157,ERP:gl_journal_post,grant,E0195,REQ-20026,Approved,E0101
CHG-00344,2025-10-27,ad.e0959,*,disable,E0334,REQ-20344,Approved,E0436
CHG-00345,2025-10-27,erp.e0959,*,disable,E0334,REQ-20345,Approved,E0101
CHG-00150,2025-10-28,erp.e0878,ERP:gl_reporting,grant,E0923,REQ-20150,Approved,E0101
CHG-00271,2025-10-28,hris.e0321,*,disable,E0334,REQ-20271,Approved,E0334
CHG-00149,2025-10-28,erp.e0878,ERP:po_create,grant,E0923,REQ-20149,Approved,E0101
CHG-00270,2025-10-28,ad.e0321,*,disable,E0334,REQ-20270,Approved,E0436
CHG-00359,2025-10-30,erp.e1009,*,disable,E0334,REQ-20359,Approved,E0101
CHG-00305,2025-10-30,ad.e0511,*,disable,E0334,REQ-20305,Approved,E0436
CHG-00209,2025-10-31,erp.e1096,ERP:customer_view,grant,E0968,REQ-20209,Approved,E0101
CHG-00358,2025-10-31,ad.e1009,*,disable,E0334,REQ-20358,Approved,E0436
CHG-00197,2025-11-01,erp.e1096,ERP:gl_reporting,grant,E0968,REQ-20197,Approved,E0101
CHG-00196,2025-11-01,ad.e1096,AD:user,grant,E0968,REQ-20196,Approved,E0436
CHG-00138,2025-11-07,ad.e0779,AD:user,grant,E0916,REQ-20138,Approved,E0436
CHG-00040,2025-11-08,ad.e0215,AD:user,grant,E0268,REQ-20040,Approved,E0436
CHG-00041,2025-11-08,erp.e0215,ERP:po_create,grant,E0268,REQ-20041,Approved,E0101
CHG-00042,2025-11-08,erp.e0215,ERP:vendor_view,grant,E0268,REQ-20042,Approved,E0101
CHG-00098,2025-11-08,ad.e0421,AD:helpdesk,grant,E0379,REQ-20098,Approved,E0436
CHG-00097,2025-11-08,ad.e0421,AD:user,grant,E0379,REQ-20097,Approved,E0436
CHG-00332,2025-11-11,ad.e0857,*,disable,E0334,REQ-20332,Approved,E0436
CHG-00153,2025-11-11,ad.e0895,AD:user,grant,E0900,REQ-20153,Approved,E0436
CHG-00378,2025-11-11,ad.e1116,*,disable,E0334,REQ-20378,Approved,E0436
CHG-00365,2025-11-12,erp.e1029,*,disable,E0334,REQ-20365,Approved,E0101
CHG-00364,2025-11-12,ad.e1029,*,disable,E0334,REQ-20364,Approved,E0436
CHG-00083,2025-11-19,ad.e0373,AD:user,grant,E0378,REQ-20083,Approved,E0436
CHG-00021,2025-11-19,ad.e0129,AD:user,grant,E0205,REQ-20021,Approved,E0436
CHG-00086,2025-11-19,payroll.e0373,PAYROLL:bank_file_release,grant,E0378,REQ-20086,Approved,E0372
CHG-00084,2025-11-19,hris.e0373,HRIS:employee_view,grant,E0378,REQ-20084,Approved,E0334
CHG-00087,2025-11-19,payroll.e0373,PAYROLL:payroll_view,grant,E0378,REQ-20087,Approved,E0372
CHG-00085,2025-11-19,payroll.e0373,PAYROLL:payroll_approve,grant,E0378,REQ-20085,Approved,E0372
CHG-00022,2025-11-20,erp.e0129,ERP:payment_run,grant,E0205,REQ-20022,Approved,E0101
CHG-00024,2025-11-20,erp.e0129,ERP:vendor_view,grant,E0205,REQ-20024,Approved,E0101
CHG-00023,2025-11-20,erp.e0129,ERP:bank_recon,grant,E0205,REQ-20023,Approved,E0101
CHG-00152,2025-11-20,ad.e0886,AD:user,grant,E0914,REQ-20152,Approved,E0436
CHG-00140,2025-11-20,ad.e0796,AD:user,grant,E0937,REQ-20140,Approved,E0436
CHG-00309,2025-11-24,ad.e0586,*,disable,E0334,REQ-20309,Approved,E0436
CHG-00321,2025-11-26,ad.e0733,*,disable,E0334,REQ-20321,Approved,E0436
CHG-00328,2025-11-26,ad.e0814,*,disable,E0334,REQ-20328,Approved,E0436
CHG-00310,2025-12-02,ad.e0593,*,disable,E0334,REQ-20310,Approved,E0436
CHG-00059,2025-12-02,erp.e0293,ERP:vendor_view,grant,E0275,REQ-20059,Approved,E0101
CHG-00317,2025-12-02,ad.e0689,*,disable,E0334,REQ-20317,Approved,E0436
CHG-00058,2025-12-02,erp.e0293,ERP:vendor_create,grant,E0275,REQ-20058,Approved,E0101
CHG-00057,2025-12-04,ad.e0293,AD:user,grant,E0275,REQ-20057,Approved,E0436
CHG-00111,2025-12-05,ad.e0512,AD:user,grant,E0903,REQ-20111,Approved,E0436
CHG-00104,2025-12-07,erp.e0475,ERP:sap_all,grant,E0379,REQ-20104,Approved,E0101
CHG-00103,2025-12-08,ad.e0475,AD:user,grant,E0379,REQ-20103,Approved,E0436
CHG-00212,2025-12-08,erp.e0134,ERP:gl_reporting,grant,E0206,REQ-20212,Approved,E0101
CHG-00133,2025-12-09,ad.e0724,AD:user,grant,E0925,REQ-20133,Approved,E0436
CHG-00351,2025-12-11,erp.e0973,*,disable,E0334,REQ-20351,Approved,E0101
CHG-00350,2025-12-12,ad.e0973,*,disable,E0334,REQ-20350,Approved,E0436
CHG-00043,2025-12-14,erp.e0235,ERP:vendor_create,grant,E0274,REQ-20043,Approved,E0101
CHG-00108,2025-12-16,ad.e0499,AD:user,grant,E0900,REQ-20108,Approved,E0436
CHG-00354,2025-12-16,ad.e0980,*,disable,E0334,REQ-20354,Approved,E0436
CHG-00132,2025-12-16,ad.e0698,AD:user,grant,E0910,REQ-20132,Approved,E0436
CHG-00181,2025-12-16,ad.e1036,AD:user,grant,E1092,REQ-20181,Approved,E0436
CHG-00244,2025-12-17,ad.e0201,*,disable,E0334,REQ-20244,Approved,E0436
CHG-00182,2025-12-17,erp.e1036,ERP:customer_view,grant,E1092,REQ-20182,Approved,E0101
CHG-00245,2025-12-17,erp.e0201,*,disable,E0334,REQ-20245,Approved,E0101
CHG-00355,2025-12-17,erp.e0980,*,disable,E0334,REQ-20355,Approved,E0101
CHG-00183,2025-12-17,erp.e1036,ERP:ar_receipts,grant,E1092,REQ-20183,Approved,E0101
CHG-00268,2025-12-22,ad.e0320,*,disable,E0334,REQ-20268,Approved,E0436
CHG-00269,2025-12-23,hris.e0320,*,disable,E0334,REQ-20269,Approved,E0334
CHG-00214,2025-12-24,erp.e0069,ERP:ap_invoice_approve,grant,E0207,REQ-20214,Approved,E0101
CHG-00379,2025-12-25,ad.e1121,*,disable,E0334,REQ-20379,Approved,E0436
CHG-00010,2025-12-28,erp.e0101,ERP:gl_reporting,grant,E0208,REQ-20010,Approved,E0208
CHG-00011,2025-12-28,erp.e0101,ERP:payment_approve,grant,E0208,REQ-20011,Approved,E0101
CHG-00012,2025-12-28,erp.e0101,ERP:ap_invoice_approve,grant,E0208,REQ-20012,Approved,E0101
CHG-00009,2025-12-28,erp.e0101,ERP:gl_journal_approve,grant,E0208,REQ-20009,Approved,E0101
CHG-00178,2025-12-28,ad.e1030,AD:user,grant,E0977,REQ-20178,Approved,E0436
CHG-00095,2025-12-29,ad.e0415,AD:user,grant,E0379,REQ-20095,Approved,E0436
CHG-00096,2025-12-29,ad.e0415,AD:helpdesk,grant,E0379,REQ-20096,Approved,E0436
CHG-00180,2025-12-30,erp.e1030,ERP:ar_receipts,grant,E0977,REQ-20180,Approved,E0101
CHG-00179,2025-12-30,erp.e1030,ERP:customer_view,grant,E0977,REQ-20179,Approved,E0101
CHG-00333,2025-12-30,ad.e0867,*,disable,E0334,REQ-20333,Approved,E0436
CHG-00258,2025-12-30,ad.e0263,*,disable,E0334,REQ-20258,Approved,E0436
CHG-00259,2025-12-31,erp.e0263,*,disable,E0334,REQ-20259,Approved,E0101
CHG-00381,2025-12-31,ad.e1137,*,disable,E0334,REQ-20381,Approved,E0436
CHG-00163,2026-01-04,ad.e0957,AD:user,grant,E1032,REQ-20163,Approved,E0436
CHG-00285,2026-01-05,ad.e0425,*,disable,E0334,REQ-20285,Approved,E0436
CHG-00134,2026-01-05,ad.e0725,AD:user,grant,E0917,REQ-20134,Approved,E0436
CHG-00164,2026-01-05,erp.e0957,ERP:customer_view,grant,E1032,REQ-20164,Approved,E0101
CHG-00165,2026-01-05,erp.e0957,ERP:ar_receipts,grant,E1032,REQ-20165,Approved,E0101
CHG-00131,2026-01-08,ad.e0690,AD:user,grant,E0918,REQ-20131,Approved,E0436
CHG-00114,2026-01-08,ad.e0524,AD:user,grant,E0903,REQ-20114,Approved,E0436
CHG-00119,2026-01-11,ad.e0554,AD:user,grant,E0918,REQ-20119,Approved,E0436
CHG-00205,2026-01-15,ad.e1154,AD:user,grant,E1121,REQ-20205,Approved,E0436
CHG-00137,2026-01-15,ad.e0763,AD:user,grant,E0914,REQ-20137,Approved,E0436
CHG-00292,2026-01-19,ad.e0463,*,disable,E0334,REQ-20292,Approved,E0436
CHG-00293,2026-01-20,erp.e0463,*,disable,E0334,REQ-20293,Approved,E0101
CHG-00115,2026-01-20,ad.e0525,AD:user,grant,E0908,REQ-20115,Approved,E0436
CHG-00387,2026-01-22,ad.e1190,*,disable,E0334,REQ-20387,Approved,E0436
CHG-00053,2026-01-23,erp.e0288,ERP:vendor_view,grant,E0280,REQ-20053,Approved,E0101
CHG-00052,2026-01-23,erp.e0288,ERP:vendor_create,grant,E0280,REQ-20052,Approved,E0101
CHG-00051,2026-01-23,ad.e0288,AD:user,grant,E0280,REQ-20051,Approved,E0436
CHG-00383,2026-01-26,ad.e1143,*,disable,E0334,REQ-20383,Approved,E0436
CHG-00284,2026-01-26,ad.e0419,*,disable,E0334,REQ-20284,Approved,E0436
CHG-00274,2026-01-27,ad.e0346,*,disable,E0334,REQ-20274,Approved,E0436
CHG-00276,2026-01-27,payroll.e0346,*,disable,E0334,REQ-20276,Approved,E0372
CHG-00275,2026-01-28,hris.e0346,*,disable,E0334,REQ-20275,Approved,E0334
CHG-00190,2026-01-29,ad.e1060,AD:user,grant,E1069,REQ-20190,Approved,E0436
CHG-00192,2026-01-30,erp.e1060,ERP:ar_receipts,grant,E1069,REQ-20192,Approved,E0101
CHG-00191,2026-01-30,erp.e1060,ERP:customer_view,grant,E1069,REQ-20191,Approved,E0101
CHG-00107,2026-02-01,ad.e0494,AD:user,grant,E0929,REQ-20107,Approved,E0436
CHG-00207,2026-02-02,ad.e1183,AD:user,grant,E1121,REQ-20207,Approved,E0436
CHG-00318,2026-02-03,ad.e0690,*,disable,E0334,REQ-20318,Approved,E0436
CHG-00335,2026-02-04,ad.e0879,*,disable,E0334,REQ-20335,Approved,E0436
CHG-00334,2026-02-05,ad.e0873,*,disable,E0334,REQ-20334,Approved,E0436
CHG-00076,2026-02-06,hris.e0356,HRIS:employee_view,grant,E0341,REQ-20076,Approved,E0334
CHG-00077,2026-02-07,payroll.e0356,PAYROLL:payroll_run,grant,E0341,REQ-20077,Approved,E0372
CHG-00078,2026-02-07,payroll.e0356,PAYROLL:payroll_view,grant,E0341,REQ-20078,Approved,E0372
CHG-00075,2026-02-08,ad.e0356,AD:user,grant,E0341,REQ-20075,Approved,E0436
CHG-00073,2026-02-09,hris.e0342,HRIS:position_approve,grant,E0374,REQ-20073,Approved,E0334
CHG-00072,2026-02-09,hris.e0342,HRIS:employee_view,grant,E0374,REQ-20072,Approved,E0334
CHG-00071,2026-02-09,hris.e0342,HRIS:employee_edit,grant,E0374,REQ-20071,Approved,E0334
CHG-00369,2026-02-10,erp.e1077,*,disable,E0334,REQ-20369,Approved,E0101
CHG-00273,2026-02-10,hris.e0328,*,disable,E0334,REQ-20273,Approved,E0334
CHG-00368,2026-02-10,ad.e1077,*,disable,E0334,REQ-20368,Approved,E0436
CHG-00070,2026-02-10,ad.e0342,AD:user,grant,E0374,REQ-20070,Approved,E0436
CHG-00074,2026-02-10,payroll.e0342,PAYROLL:payroll_view,grant,E0374,REQ-20074,Approved,E0372
CHG-00272,2026-02-10,ad.e0328,*,disable,E0334,REQ-20272,Approved,E0436
CHG-00047,2026-02-12,ad.e0275,AD:user,grant,E0268,,,
CHG-00048,2026-02-12,erp.e0275,ERP:po_approve,grant,E0268,REQ-20048,Approved,E0268
CHG-00289,2026-02-12,ad.e0448,*,disable,E0334,REQ-20289,Approved,E0436
CHG-00049,2026-02-12,erp.e0275,ERP:vendor_create,grant,E0268,REQ-20049,Approved,E0101
CHG-00050,2026-02-12,erp.e0275,ERP:vendor_view,grant,E0268,REQ-20050,Approved,E0101
CHG-00157,2026-02-13,ad.e0935,AD:user,grant,E0900,REQ-20157,Approved,E0436
CHG-00239,2026-02-13,erp.e0164,*,disable,E0334,REQ-20239,Approved,E0101
CHG-00159,2026-02-14,erp.e0935,ERP:gl_reporting,grant,E0900,REQ-20159,Approved,E0101
CHG-00158,2026-02-14,erp.e0935,ERP:po_create,grant,E0900,REQ-20158,Approved,E0101
CHG-00213,2026-02-15,erp.e0171,ERP:sap_all,grant,E0207,REQ-20213,Approved,E0101
CHG-00122,2026-02-16,ad.e0563,AD:user,grant,E0916,REQ-20122,Approved,E0436
CHG-00238,2026-02-16,ad.e0164,*,disable,E0334,REQ-20238,Approved,E0436
CHG-00329,2026-02-17,ad.e0833,*,disable,E0334,REQ-20329,Approved,E0436
CHG-00228,2026-02-20,ad.e0067,*,disable,E0334,REQ-20228,Approved,E0436
CHG-00069,2026-02-22,payroll.e0334,PAYROLL:payroll_view,grant,E0373,REQ-20069,Approved,E0372
CHG-00068,2026-02-22,hris.e0334,HRIS:position_approve,grant,E0373,REQ-20068,Approved,E0334
CHG-00229,2026-02-23,erp.e0067,*,disable,E0334,REQ-20229,Approved,E0101
CHG-00325,2026-02-23,ad.e0798,*,disable,E0334,REQ-20325,Approved,E0436
CHG-00166,2026-02-24,ad.e0970,AD:user,grant,E1021,REQ-20166,Approved,E0436
CHG-00362,2026-02-25,ad.e1022,*,disable,E0334,REQ-20362,Approved,E0436
CHG-00168,2026-02-25,erp.e0970,ERP:ar_receipts,grant,E1021,REQ-20168,Approved,E0101
CHG-00167,2026-02-25,erp.e0970,ERP:customer_view,grant,E1021,REQ-20167,Approved,E0101
CHG-00261,2026-02-26,erp.e0264,*,disable,E0334,REQ-20261,Approved,E0101
CHG-00363,2026-02-26,erp.e1022,*,disable,E0334,REQ-20363,Approved,E0101
CHG-00260,2026-02-26,ad.e0264,*,disable,E0334,REQ-20260,Approved,E0436
CHG-00312,2026-02-26,ad.e0617,*,disable,E0334,REQ-20312,Approved,E0436
CHG-00375,2026-03-02,erp.e1102,*,disable,E0334,REQ-20375,Approved,E0101
CHG-00374,2026-03-02,ad.e1102,*,disable,E0334,REQ-20374,Approved,E0436
CHG-00376,2026-03-03,payroll.e1102,*,disable,E0334,REQ-20376,Approved,E0372
CHG-00170,2026-03-04,erp.e0976,ERP:customer_view,grant,E1026,REQ-20170,Approved,E0101
CHG-00171,2026-03-04,erp.e0976,ERP:ar_receipts,grant,E1026,REQ-20171,Approved,E0101
CHG-00169,2026-03-05,ad.e0976,AD:user,grant,E1026,REQ-20169,Approved,E0436
CHG-00326,2026-03-09,ad.e0802,*,disable,E0334,REQ-20326,Approved,E0436
CHG-00204,2026-03-11,ad.e1152,AD:user,grant,E1121,REQ-20204,Approved,E0436
CHG-00064,2026-03-12,payroll.e0313,PAYROLL:payroll_view,grant,E0376,REQ-20064,Approved,E0372
CHG-00063,2026-03-12,payroll.e0313,PAYROLL:payroll_run,grant,E0376,REQ-20063,Approved,E0372
