account_id,entitlement,granted_on
erp.e0072,ERP:vendor_view,2019-05-23
ad.e0073,AD:user,2015-03-16
erp.e0073,ERP:ap_invoice_entry,2015-03-17
erp.e0073,ERP:ap_invoice_approve,2015-03-17
erp.e0073,ERP:vendor_view,2015-03-17
ad.e0074,AD:user,2016-10-06
erp.e0074,ERP:ap_invoice_entry,2016-10-06
erp.e0074,ERP:ap_invoice_approve,2016-10-06
erp.e0074,ERP:vendor_view,2016-10-06
ad.e0075,AD:user,2013-03-21
erp.e0075,ERP:ap_invoice_entry,2013-03-20
erp.e0075,ERP:ap_invoice_approve,2013-03-20
erp.e0075,ERP:vendor_view,2013-03-20
ad.e0076,AD:user,2019-12-26
erp.e0076,ERP:ap_invoice_entry,2019-12-25
erp.e0076,ERP:ap_invoice_approve,2019-12-25
erp.e0076,ERP:vendor_view,2019-12-25
ad.e0077,AD:user,2019-05-14
erp.e0077,ERP:ap_invoice_entry,2019-05-16
erp.e0077,ERP:ap_invoice_approve,2019-05-16
erp.e0077,ERP:vendor_view,2019-05-16
ad.e0078,AD:user,2026-04-16
erp.e0078,ERP:ap_invoice_entry,2026-04-17
erp.e0078,ERP:ap_invoice_approve,2026-04-17
erp.e0078,ERP:vendor_view,2026-04-17
ad.e0079,AD:user,2024-10-07
erp.e0079,ERP:ap_invoice_entry,2024-10-06
erp.e0079,ERP:ap_invoice_approve,2024-10-06
erp.e0079,ERP:vendor_view,2024-10-06
ad.e0080,AD:user,2021-08-10
erp.e0080,ERP:ap_invoice_entry,2021-08-11
erp.e0080,ERP:ap_invoice_approve,2021-08-11
erp.e0080,ERP:vendor_view,2021-08-11
ad.e0081,AD:user,2023-03-09
erp.e0081,ERP:ap_invoice_entry,2023-03-09
erp.e0081,ERP:ap_invoice_approve,2023-03-09
erp.e0081,ERP:vendor_view,2023-03-09
ad.e0082,AD:user,2018-05-06
erp.e0082,ERP:ap_invoice_entry,2018-05-04
erp.e0082,ERP:ap_invoice_approve,2018-05-04
erp.e0082,ERP:vendor_view,2018-05-04
ad.e0083,AD:user,2012-11-05
erp.e0083,ERP:ap_invoice_entry,2012-11-07
erp.e0083,ERP:ap_invoice_approve,2012-11-07
erp.e0083,ERP:vendor_view,2012-11-07
ad.e0084,AD:user,2025-04-21
erp.e0084,ERP:ap_invoice_entry,2025-04-22
erp.e0084,ERP:ap_invoice_approve,2025-04-22
erp.e0084,ERP:vendor_view,2025-04-22
ad.e0085,AD:user,2020-09-02
erp.e0085,ERP:ar_receipts,2020-09-02
erp.e0085,ERP:customer_view,2020-09-02
ad.e0086,AD:user,2014-01-14
erp.e0086,ERP:ar_receipts,2014-01-14
erp.e0086,ERP:customer_view,2014-01-14
ad.e0087,AD:user,2018-12-24
erp.e0087,ERP:ar_receipts,2018-12-23
erp.e0087,ERP:customer_view,2018-12-23
ad.e0088,AD:user,2014-01-06
erp.e0088,ERP:ar_receipts,2014-01-07
erp.e0088,ERP:customer_view,2014-01-07
ad.e0089,AD:user,2019-06-12
erp.e0089,ERP:ar_receipts,2019-06-10
erp.e0089,ERP:customer_view,2019-06-10
ad.e0090,AD:user,2014-03-10
erp.e0090,ERP:ar_receipts,2014-03-11
erp.e0090,ERP:customer_view,2014-03-11
ad.e0091,AD:user,2018-11-10
erp.e0091,ERP:ar_receipts,2018-11-10
erp.e0091,ERP:customer_view,2018-11-10
ad.e0092,AD:user,2018-12-01
erp.e0092,ERP:ar_receipts,2018-12-02
erp.e0092,ERP:customer_view,2018-12-02
ad.e0093,AD:user,2018-05-14
erp.e0093,ERP:ar_receipts,2018-05-15
erp.e0093,ERP:customer_view,2018-05-15
ad.e0094,AD:user,2019-01-26
erp.e0094,ERP:ar_receipts,2019-01-26
erp.e0094,ERP:customer_view,2019-01-26
ad.e0095,AD:user,2019-04-12
erp.e0095,ERP:ar_receipts,2019-04-12
erp.e0095,ERP:customer_view,2019-04-12
ad.e0096,AD:user,2014-05-13
erp.e0096,ERP:ar_receipts,2014-05-14
erp.e0096,ERP:customer_view,2014-05-14
ad.e0097,AD:user,2012-06-16
erp.e0097,ERP:ar_receipts,2012-06-17
erp.e0097,ERP:customer_view,2012-06-17
ad.e0098,AD:user,2022-12-17
erp.e0098,ERP:ar_receipts,2022-12-17
erp.e0098,ERP:customer_view,2022-12-17
ad.e0099,AD:user,2013-01-09
erp.e0099,ERP:ar_receipts,2013-01-08
erp.e0099,ERP:customer_view,2013-01-08
ad.e0100,AD:user,2017-03-20
erp.e0100,ERP:ar_receipts,2017-03-21
erp.e0100,ERP:customer_view,2017-03-21
ad.e0101,AD:user,2015-06-20
erp.e0101,ERP:gl_journal_approve,2025-12-28
erp.e0101,ERP:gl_reporting,2025-12-28
erp.e0101,ERP:payment_approve,2025-12-28
erp.e0101,ERP:ap_invoice_approve,2025-12-28
ad.e0102,AD:user,2023-12-14
erp.e0102,ERP:ar_receipts,2023-12-15
erp.e0102,ERP:customer_view,2023-12-15
ad.e0103,AD:user,2015-09-05
erp.e0103,ERP:ar_receipts,2015-09-07
erp.e0103,ERP:customer_view,2015-09-07
ad.e0104,AD:user,2016-01-02
erp.e0104,ERP:ar_receipts,2016-01-01
erp.e0104,ERP:customer_view,2016-01-01
ad.e0105,AD:user,2025-09-23
erp.e0105,ERP:ar_receipts,2025-09-24
erp.e0105,ERP:customer_view,2025-09-24
ad.e0106,AD:user,2024-07-26
erp.e0106,ERP:ar_receipts,2024-07-28
erp.e0106,ERP:customer_view,2024-07-28
ad.e0107,AD:user,2012-10-06
erp.e0107,ERP:ar_receipts,2012-10-05
erp.e0107,ERP:customer_view,2012-10-05
ad.e0108,AD:user,2025-09-12
erp.e0108,ERP:ar_receipts,2025-09-13
erp.e0108,ERP:customer_view,2025-09-13
ad.e0109,AD:user,2023-08-05
erp.e0109,ERP:ar_receipts,2023-08-04
erp.e0109,ERP:customer_view,2023-08-04
ad.e0110,AD:user,2017-07-19
erp.e0110,ERP:ar_receipts,2017-07-17
erp.e0110,ERP:customer_view,2017-07-17
ad.e0111,AD:user,2023-07-03
erp.e0111,ERP:ar_receipts,2023-07-03
erp.e0111,ERP:customer_view,2023-07-03
ad.e0112,AD:user,2019-02-23
erp.e0112,ERP:ar_receipts,2019-02-23
erp.e0112,ERP:customer_view,2019-02-23
ad.e0113,AD:user,2013-03-14
erp.e0113,ERP:ar_receipts,2013-03-14
erp.e0113,ERP:customer_view,2013-03-14
ad.e0114,AD:user,2015-04-05
erp.e0114,ERP:ar_receipts,2015-04-05
erp.e0114,ERP:customer_view,2015-04-05
ad.e0115,AD:user,2015-10-28
erp.e0115,ERP:ar_receipts,2015-10-28
erp.e0115,ERP:customer_view,2015-10-28
ad.e0116,AD:user,2021-07-26
erp.e0116,ERP:ar_receipts,2021-07-25
erp.e0116,ERP:customer_view,2021-07-25
ad.e0117,AD:user,2025-03-05
erp.e0117,ERP:ar_receipts,2025-03-05
erp.e0117,ERP:customer_view,2025-03-05
ad.e0118,AD:user,2014-09-21
erp.e0118,ERP:ar_receipts,2014-09-22
erp.e0118,ERP:customer_view,2014-09-22
ad.e0119,AD:user,2015-03-01
erp.e0119,ERP:ar_receipts,2015-03-02
erp.e0119,ERP:customer_view,2015-03-02
ad.e0120,AD:user,2018-05-04
erp.e0120,ERP:ar_receipts,2018-05-04
erp.e0120,ERP:customer_view,2018-05-04
ad.e0121,AD:user,2019-07-21
erp.e0121,ERP:ar_receipts,2019-07-23
erp.e0121,ERP:customer_view,2019-07-23
ad.e0122,AD:user,2022-03-21
erp.e0122,ERP:ar_receipts,2022-03-20
erp.e0122,ERP:customer_view,2022-03-20
ad.e0123,AD:user,2015-03-07
erp.e0123,ERP:gl_journal_post,2025-08-27
erp.e0123,ERP:gl_reporting,2025-08-27
ad.e0124,AD:user,2017-10-14
erp.e0124,ERP:ar_receipts,2017-10-14
erp.e0124,ERP:customer_view,2017-10-14
ad.e0125,AD:user,2021-01-27
erp.e0125,ERP:ar_receipts,2021-01-25
erp.e0125,ERP:customer_view,2021-01-25
ad.e0126,AD:user,2012-09-11
erp.e0126,ERP:ar_receipts,2012-09-09
erp.e0126,ERP:customer_view,2012-09-09
ad.e0127,AD:user,2018-07-01
erp.e0127,ERP:payment_run,2018-06-30
erp.e0127,ERP:bank_recon,2018-06-30
erp.e0127,ERP:vendor_view,2018-06-30
ad.e0128,AD:user,2015-07-01
erp.e0128,ERP:payment_run,2015-07-01
erp.e0128,ERP:bank_recon,2015-07-01
erp.e0128,ERP:vendor_view,2015-07-01
ad.e0129,AD:user,2025-11-19
erp.e0129,ERP:payment_run,2025-11-20
erp.e0129,ERP:bank_recon,2025-11-20
erp.e0129,ERP:vendor_view,2025-11-20
ad.e0130,AD:user,2019-12-21
erp.e0130,ERP:payment_run,2019-12-20
erp.e0130,ERP:bank_recon,2019-12-20
erp.e0130,ERP:vendor_view,2019-12-20
ad.e0131,AD:user,2019-03-16
erp.e0131,ERP:payment_run,2019-03-18
erp.e0131,ERP:bank_recon,2019-03-18
erp.e0131,ERP:vendor_view,2019-03-18
ad.e0132,AD:user,2020-08-05
erp.e0132,ERP:payment_run,2020-08-04
erp.e0132,ERP:bank_recon,2020-08-04
erp.e0132,ERP:vendor_view,2020-08-04
ad.e0133,AD:user,2021-01-05
erp.e0133,ERP:payment_run,2021-01-06
erp.e0133,ERP:bank_recon,2021-01-06
erp.e0133,ERP:vendor_view,2021-01-06
ad.e0134,AD:user,2023-05-20
erp.e0134,ERP:payment_run,2023-05-18
erp.e0134,ERP:bank_recon,2023-05-18
erp.e0134,ERP:vendor_view,2023-05-18
ad.e0135,AD:user,2015-03-06
erp.e0135,ERP:payment_run,2015-03-04
erp.e0135,ERP:bank_recon,2015-03-04
erp.e0135,ERP:vendor_view,2015-03-04
ad.e0136,AD:user,2017-07-14
erp.e0136,ERP:payment_run,2017-07-13
erp.e0136,ERP:bank_recon,2017-07-13
erp.e0136,ERP:vendor_view,2017-07-13
ad.e0137,AD:user,2021-08-04
erp.e0137,ERP:payment_run,2021-08-06
erp.e0137,ERP:bank_recon,2021-08-06
erp.e0137,ERP:vendor_view,2021-08-06
ad.e0138,AD:user,2024-08-01
erp.e0138,ERP:payment_run,2024-07-31
erp.e0138,ERP:bank_recon,2024-07-31
erp.e0138,ERP:vendor_view,2024-07-31
ad.e0139,AD:user,2019-02-09
erp.e0139,ERP:payment_run,2019-02-10
erp.e0139,ERP:bank_recon,2019-02-10
erp.e0139,ERP:vendor_view,2019-02-10
ad.e0140,AD:user,2017-04-23
erp.e0140,ERP:payment_run,2017-04-25
erp.e0140,ERP:bank_recon,2017-04-25
erp.e0140,ERP:vendor_view,2017-04-25
ad.e0141,AD:user,2019-01-17
erp.e0141,ERP:payment_run,2019-01-16
erp.e0141,ERP:bank_recon,2019-01-16
erp.e0141,ERP:vendor_view,2019-01-16
ad.e0142,AD:user,2016-03-18
erp.e0142,ERP:payment_run,2016-03-18
erp.e0142,ERP:bank_recon,2016-03-18
erp.e0142,ERP:vendor_view,2016-03-18
ad.e0143,AD:user,2024-06-08
erp.e0143,ERP:payment_run,2024-06-07
erp.e0143,ERP:bank_recon,2024-06-07
erp.e0143,ERP:vendor_view,2024-06-07
ad.e0144,AD:user,2020-03-22
erp.e0144,ERP:payment_run,2020-03-22
erp.e0144,ERP:bank_recon,2020-03-22
erp.e0144,ERP:vendor_view,2020-03-22
ad.e0145,AD:user,2015-10-13
erp.e0145,ERP:payment_run,2015-10-14
erp.e0145,ERP:bank_recon,2015-10-14
erp.e0145,ERP:vendor_view,2015-10-14
ad.e0146,AD:user,2022-07-25
erp.e0146,ERP:payment_run,2022-07-23
erp.e0146,ERP:bank_recon,2022-07-23
erp.e0146,ERP:vendor_view,2022-07-23
ad.e0147,AD:user,2015-05-22
erp.e0147,ERP:payment_run,2015-05-24
erp.e0147,ERP:bank_recon,2015-05-24
erp.e0147,ERP:vendor_view,2015-05-24
ad.e0148,AD:user,2019-10-19
erp.e0148,ERP:gl_journal_post,2019-10-17
erp.e0148,ERP:gl_reporting,2019-10-17
ad.e0149,AD:user,2018-05-10
erp.e0149,ERP:gl_journal_post,2018-05-08
erp.e0149,ERP:gl_reporting,2018-05-08
ad.e0150,AD:user,2025-05-20
erp.e0150,ERP:gl_journal_post,2025-05-19
erp.e0150,ERP:gl_reporting,2025-05-19
ad.e0151,AD:user,2015-07-17
erp.e0151,ERP:gl_journal_post,2015-07-17
erp.e0151,ERP:gl_reporting,2015-07-17
ad.e0152,AD:user,2012-02-08
erp.e0152,ERP:gl_journal_post,2012-02-10
erp.e0152,ERP:gl_reporting,2012-02-10
ad.e0153,AD:user,2014-11-15
erp.e0153,ERP:gl_journal_post,2014-11-14
erp.e0153,ERP:gl_reporting,2014-11-14
ad.e0154,AD:user,2021-10-16
erp.e0154,ERP:gl_journal_post,2021-10-15
erp.e0154,ERP:gl_reporting,2021-10-15
ad.e0155,AD:user,2012-12-30
erp.e0155,ERP:gl_journal_post,2012-12-30
erp.e0155,ERP:gl_reporting,2012-12-30
ad.e0156,AD:user,2018-11-13
erp.e0156,ERP:gl_journal_post,2018-11-12
erp.e0156,ERP:gl_reporting,2018-11-12
ad.e0157,AD:user,2025-10-24
erp.e0157,ERP:gl_journal_post,2025-10-26
erp.e0157,ERP:gl_reporting,2025-10-26
ad.e0158,AD:user,2020-09-26
erp.e0158,ERP:gl_journal_post,2020-09-26
erp.e0158,ERP:gl_reporting,2020-09-26
ad.e0159,AD:user,2025-10-05
erp.e0159,ERP:gl_journal_post,2025-10-06
erp.e0159,ERP:gl_reporting,2025-10-06
ad.e0160,AD:user,2021-04-16
erp.e0160,ERP:gl_journal_post,2021-04-16
erp.e0160,ERP:gl_reporting,2021-04-16
ad.e0161,AD:user,2020-04-02
erp.e0161,ERP:gl_journal_post,2020-03-31
erp.e0161,ERP:gl_reporting,2020-03-31
ad.e0162,AD:user,2016-04-22
erp.e0162,ERP:gl_journal_post,2016-04-23
erp.e0162,ERP:gl_reporting,2016-04-23
ad.e0163,AD:user,2014-08-19
erp.e0163,ERP:gl_journal_post,2014-08-18
erp.e0163,ERP:gl_reporting,2014-08-18
ad.e0164,AD:user,2025-05-03
erp.e0164,ERP:gl_journal_post,2025-05-04
erp.e0164,ERP:gl_reporting,2025-05-04
ad.e0165,AD:user,2025-05-28
erp.e0165,ERP:gl_journal_post,2025-05-26
erp.e0165,ERP:gl_reporting,2025-05-26
ad.e0166,AD:user,2014-04-18
erp.e0166,ERP:gl_journal_post,2014-04-19
erp.e0166,ERP:gl_reporting,2014-04-19
ad.e0167,AD:user,2017-12-27
erp.e0167,ERP:gl_journal_post,2017-12-26
erp.e0167,ERP:gl_reporting,2017-12-26
ad.e0168,AD:user,2022-05-24
erp.e0168,ERP:gl_journal_post,2022-05-23
erp.e0168,ERP:gl_reporting,2022-05-23
ad.e0169,AD:user,2016-08-02
erp.e0169,ERP:gl_journal_post,2016-07-31
erp.e0169,ERP:gl_reporting,2016-07-31
ad.e0170,AD:user,2024-09-18
erp.e0170,ERP:gl_journal_post,2024-09-19
erp.e0170,ERP:gl_reporting,2024-09-19
ad.e0171,AD:user,2015-01-14
erp.e0171,ERP:gl_journal_post,2015-01-14
erp.e0171,ERP:gl_reporting,2015-01-14
ad.e0172,AD:user,2015-07-28
erp.e0172,ERP:gl_journal_post,2015-07-30
erp.e0172,ERP:gl_reporting,2015-07-30
ad.e0173,AD:user,2024-08-07
erp.e0173,ERP:gl_journal_post,2024-08-07
erp.e0173,ERP:gl_reporting,2024-08-07
ad.e0174,AD:user,2017-11-29
erp.e0174,ERP:gl_journal_post,2017-12-01
erp.e0174,ERP:gl_reporting,2017-12-01
ad.e0175,AD:user,2022-11-11
erp.e0175,ERP:gl_journal_post,2022-11-10
erp.e0175,ERP:gl_reporting,2022-11-10
ad.e0176,AD:user,2025-08-31
erp.e0176,ERP:gl_journal_post,2025-08-31
erp.e0176,ERP:gl_reporting,2025-08-31
ad.e0177,AD:user,2012-09-20
erp.e0177,ERP:gl_journal_post,2012-09-20
erp.e0177,ERP:gl_reporting,2012-09-20
ad.e0178,AD:user,2014-01-23
erp.e0178,ERP:gl_journal_post,2014-01-22
erp.e0178,ERP:gl_reporting,2014-01-22
ad.e0179,AD:user,2013-11-09
erp.e0179,ERP:gl_journal_post,2013-11-10
erp.e0179,ERP:gl_reporting,2013-11-10
ad.e0180,AD:user,2019-04-04
erp.e0180,ERP:gl_journal_post,2019-04-04
erp.e0180,ERP:gl_reporting,2019-04-04
ad.e0181,AD:user,2020-11-28
erp.e0181,ERP:gl_journal_post,2020-11-29
erp.e0181,ERP:gl_reporting,2020-11-29
ad.e0182,AD:user,2019-01-19
erp.e0182,ERP:gl_journal_post,2019-01-17
erp.e0182,ERP:gl_reporting,2019-01-17
ad.e0183,AD:user,2023-11-13
erp.e0183,ERP:gl_journal_post,2023-11-13
erp.e0183,ERP:gl_reporting,2023-11-13
ad.e0184,AD:user,2019-02-15
erp.e0184,ERP:gl_journal_post,2019-02-15
erp.e0184,ERP:gl_reporting,2019-02-15
ad.e0185,AD:user,2016-09-06
erp.e0185,ERP:gl_journal_post,2016-09-08
erp.e0185,ERP:gl_reporting,2016-09-08
ad.e0186,AD:user,2016-04-29
erp.e0186,ERP:gl_journal_post,2016-04-29
erp.e0186,ERP:gl_reporting,2016-04-29
ad.e0187,AD:user,2013-01-01
erp.e0187,ERP:payment_run,2025-10-11
erp.e0187,ERP:bank_recon,2025-10-11
erp.e0187,ERP:vendor_view,2025-10-11
ad.e0188,AD:user,2018-08-16
