claim_id,employee_id,department,date,category,amount,approver_id,status
EXP-005185,E0693,Operations,2025-07-02,Supplies,63.8,E0938,Paid
EXP-006402,E0799,Operations,2025-07-02,Client entertainment,96.32,E0914,Paid
EXP-006515,E0807,Operations,2025-07-02,Client entertainment,42.29,E0907,Paid
EXP-008291,E0948,Sales,2025-07-02,Travel,314.17,E0976,Paid
EXP-008750,E0985,Sales,2025-07-02,Training,206.51,E0977,Paid
EXP-009086,E1013,Sales,2025-07-02,Accommodation,192.67,E1032,Paid
EXP-009342,E1035,Sales,2025-07-02,Travel,234.41,E0967,Paid
EXP-009589,E1056,Sales,2025-07-02,Travel,265.7,E1074,Paid
EXP-010314,E1113,Legal,2025-07-02,Training,27.3,E1120,Paid
EXP-010557,E1163,Facilities,2025-07-02,Supplies,53.03,E1121,Paid
EXP-000169,E0034,Finance,2025-07-03,Client entertainment,43.37,E0196,Paid
EXP-000575,E0107,Finance,2025-07-03,Travel,164.78,E0199,Paid
EXP-001078,E0194,Finance,2025-07-03,Client entertainment,51.85,E0200,Paid
EXP-001949,E0358,Human Resources,2025-07-03,Meals,127.61,E0349,Paid
EXP-001961,E0360,Human Resources,2025-07-03,Meals,91.9,E0348,Paid
EXP-003159,E0522,Operations,2025-07-03,Accommodation,144.1,E0916,Paid
EXP-003863,E0579,Operations,2025-07-03,Accommodation,24.52,E0926,Paid
EXP-004348,E0623,Operations,2025-07-03,Meals,109.99,E0909,Paid
EXP-004429,E0628,Operations,2025-07-03,Meals,157.69,E0912,Paid
EXP-004486,E0633,Operations,2025-07-03,Training,21.35,E0901,Paid
EXP-005187,E0693,Operations,2025-07-03,Training,394.2,E0938,Paid
EXP-005213,E0696,Operations,2025-07-03,Travel,65.73,E0925,Paid
EXP-007358,E0878,Operations,2025-07-03,Travel,130.45,E0923,Paid
EXP-008289,E0948,Sales,2025-07-03,Meals,409.75,E0976,Paid
EXP-008310,E0951,Sales,2025-07-03,Travel,224.96,E0984,Paid
EXP-008501,E0966,Sales,2025-07-03,Travel,132.88,E1012,Paid
EXP-008831,E0992,Sales,2025-07-03,Supplies,150.37,E1060,Paid
EXP-008839,E0992,Sales,2025-07-03,Client entertainment,118.89,E1060,Paid
EXP-009141,E1019,Sales,2025-07-03,Supplies,654.03,E0984,Paid
EXP-009817,E1074,Sales,2025-07-03,Travel,38.31,E1064,Paid
EXP-010122,E1097,Sales,2025-07-03,Meals,197.58,E1030,Paid
EXP-010206,E1104,Sales,2025-07-03,Travel,108.54,E1056,Paid
EXP-010603,E1172,Facilities,2025-07-03,Training,119.68,E1121,Paid
EXP-010723,E1190,Facilities,2025-07-03,Client entertainment,64.92,E1121,Paid
EXP-010893,E1043,Sales,2025-07-03,Client entertainment,988.37,E1099,Paid
EXP-000380,E0070,Finance,2025-07-04,Client entertainment,29.05,E0196,Paid
EXP-000439,E0083,Finance,2025-07-04,Client entertainment,157.45,E0199,Paid
EXP-001064,E0192,Finance,2025-07-04,Accommodation,522.46,E0205,Paid
EXP-001801,E0330,Human Resources,2025-07-04,Training,109.23,E0347,Paid
EXP-002077,E0380,IT,2025-07-04,Client entertainment,116.37,E0379,Paid
EXP-002492,E0458,IT,2025-07-04,Client entertainment,92.16,E0379,Paid
EXP-002732,E0487,Operations,2025-07-04,Meals,145.53,E0937,Paid
EXP-003096,E0518,Operations,2025-07-04,Training,168.31,E0902,Paid
EXP-003132,E0520,Operations,2025-07-04,Travel,21.41,E0520,Paid
EXP-003528,E0550,Operations,2025-07-04,Travel,170.32,E0912,Paid
EXP-004229,E0613,Operations,2025-07-04,Training,363.54,E0929,Paid
EXP-004299,E0618,Operations,2025-07-04,Training,17.63,E0906,Paid
EXP-004561,E0639,Operations,2025-07-04,Training,92.9,E0921,Paid
EXP-004577,E0640,Operations,2025-07-04,Supplies,143.28,E0938,Paid
EXP-004803,E0661,Operations,2025-07-04,Supplies,29.13,E0916,Paid
EXP-004909,E0671,Operations,2025-07-04,Meals,227.63,E0910,Paid
EXP-005540,E0726,Operations,2025-07-04,Meals,556.22,E0906,Paid
EXP-005677,E0737,Operations,2025-07-04,Meals,69.93,E0915,Paid
EXP-005956,E0763,Operations,2025-07-04,Client entertainment,157.18,E0914,Paid
EXP-006194,E0783,Operations,2025-07-04,Travel,127.67,E0918,Paid
EXP-007153,E0859,Operations,2025-07-04,Supplies,97.25,E0919,Paid
EXP-007194,E0862,Operations,2025-07-04,Training,260.08,E0924,Paid
EXP-007297,E0873,Operations,2025-07-04,Training,105.75,E0914,Paid
EXP-007374,E0879,Operations,2025-07-04,Meals,128.8,E0899,Paid
EXP-007749,E0908,Operations,2025-07-04,Client entertainment,253.66,E0914,Paid
EXP-008955,E1003,Sales,2025-07-04,Accommodation,224.99,E1102,Paid
EXP-009370,E1036,Sales,2025-07-04,Travel,10.29,E1092,Paid
EXP-009849,E1076,Sales,2025-07-04,Meals,205.74,E1047,Paid
EXP-010292,E1110,Legal,2025-07-04,Meals,42.91,E1117,Paid
EXP-000424,E0078,Finance,2025-07-05,Client entertainment,85.48,E0205,Paid
EXP-000656,E0119,Finance,2025-07-05,Supplies,265.23,E0210,Paid
EXP-001316,E0245,Procurement,2025-07-05,Meals,14.51,E0278,Paid
EXP-001839,E0337,Human Resources,2025-07-05,Meals,39.37,E0340,Paid
EXP-002563,E0472,IT,2025-07-05,Accommodation,84.09,E0379,Paid
EXP-002692,E0485,Operations,2025-07-05,Supplies,75.11,E0903,Paid
EXP-003127,E0520,Operations,2025-07-05,Client entertainment,170.57,E0907,Paid
EXP-003612,E0558,Operations,2025-07-05,Travel,109.83,E0906,Paid
EXP-003824,E0575,Operations,2025-07-05,Training,21.43,E0904,Paid
EXP-004152,E0608,Operations,2025-07-05,Client entertainment,332.87,E0929,Paid
EXP-004642,E0646,Operations,2025-07-05,Accommodation,117.05,E0923,Paid
EXP-004986,E0678,Operations,2025-07-05,Meals,140.7,E0918,Paid
EXP-006184,E0781,Operations,2025-07-05,Client entertainment,51.8,E0936,Paid
EXP-006693,E0824,Operations,2025-07-05,Training,832.61,E0930,Paid
EXP-006804,E0832,Operations,2025-07-05,Travel,87.66,E0904,Paid
EXP-007658,E0902,Operations,2025-07-05,Travel,170.4,E0001,Paid
EXP-007764,E0910,Operations,2025-07-05,Travel,50.59,E0917,Paid
EXP-008294,E0949,Sales,2025-07-05,Client entertainment,64.3,E0955,Paid
EXP-008367,E0956,Sales,2025-07-05,Accommodation,139.32,E1104,Paid
EXP-008524,E0968,Sales,2025-07-05,Accommodation,132.03,E1017,Paid
EXP-010305,E1111,Legal,2025-07-05,Client entertainment,125.16,E1118,Paid
EXP-010466,E1147,Facilities,2025-07-05,Supplies,107.89,E1121,Paid
EXP-010823,E0965,Sales,2025-07-05,Client entertainment,908.01,E0976,Paid
EXP-000038,E0009,Finance,2025-07-06,Accommodation,299.06,E0199,Paid
EXP-000266,E0048,Finance,2025-07-06,Client entertainment,319.33,E0196,Paid
EXP-000720,E0133,Finance,2025-07-06,Travel,81.45,E0195,Paid
EXP-000732,E0135,Finance,2025-07-06,Training,36.75,E0196,Paid
EXP-000748,E0138,Finance,2025-07-06,Travel,35.79,E0203,Paid
EXP-000876,E0165,Finance,2025-07-06,Accommodation,87.63,E0208,Paid
EXP-001347,E0251,Procurement,2025-07-06,Supplies,94.29,E0277,Paid
EXP-001588,E0290,Procurement,2025-07-06,Training,59.33,E0272,Paid
EXP-002041,E0375,Human Resources,2025-07-06,Training,96.68,E0378,Paid
EXP-002924,E0502,Operations,2025-07-06,Supplies,208.65,E0901,Paid
EXP-003518,E0549,Operations,2025-07-06,Supplies,20.17,E0923,Paid
EXP-003989,E0590,Operations,2025-07-06,Training,162.23,E0926,Paid
EXP-004089,E0599,Operations,2025-07-06,Travel,276.99,E0909,Paid
EXP-004831,E0664,Operations,2025-07-06,Client entertainment,82.86,E0932,Paid
EXP-005240,E0698,Operations,2025-07-06,Accommodation,526.84,E0910,Paid
EXP-005442,E0719,Operations,2025-07-06,Supplies,45.24,E0914,Paid
EXP-005798,E0750,Operations,2025-07-06,Client entertainment,111.94,E0910,Paid
EXP-006071,E0771,Operations,2025-07-06,Training,59.96,E0933,Paid
EXP-006341,E0794,Operations,2025-07-06,Accommodation,116.64,E0924,Paid
EXP-006374,E0798,Operations,2025-07-06,Training,41.4,E0932,Paid
EXP-006868,E0837,Operations,2025-07-06,Travel,38.17,E0936,Paid
EXP-007017,E0848,Operations,2025-07-06,Meals,307.9,E0910,Paid
EXP-007219,E0864,Operations,2025-07-06,Travel,167.64,E0912,Paid
EXP-007220,E0864,Operations,2025-07-06,Meals,29.55,E0912,Paid
EXP-007443,E0884,Operations,2025-07-06,Supplies,36.23,E0901,Paid
EXP-007746,E0908,Operations,2025-07-06,Accommodation,122.72,E0914,Paid
EXP-007819,E0913,Operations,2025-07-06,Training,45.13,E0927,Paid
EXP-008385,E0957,Sales,2025-07-06,Supplies,31.75,E1032,Paid
EXP-009483,E1045,Sales,2025-07-06,Training,51.01,E0986,Paid
EXP-009597,E1056,Sales,2025-07-06,Travel,52.29,E1074,Paid
EXP-010081,E1095,Sales,2025-07-06,Training,97.09,E0966,Paid
EXP-010107,E1096,Sales,2025-07-06,Training,32.77,E0968,Paid
EXP-010780,E1200,Facilities,2025-07-06,Meals,97.5,E1121,Paid
EXP-000587,E0109,Finance,2025-07-07,Supplies,590.06,E0197,Paid
EXP-001267,E0237,Procurement,2025-07-07,Client entertainment,144.31,E0267,Paid
EXP-001459,E0270,Procurement,2025-07-07,Training,31.18,E0267,Paid
EXP-001893,E0348,Human Resources,2025-07-07,Client entertainment,442.77,E0345,Paid
EXP-001977,E0364,Human Resources,2025-07-07,Travel,80.16,E0376,Paid
EXP-002810,E0494,Operations,2025-07-07,Travel,85.59,E0929,Paid
EXP-003047,E0513,Operations,2025-07-07,Training,59.95,E0918,Paid
EXP-003083,E0516,Operations,2025-07-07,Accommodation,90.04,E0934,Paid
EXP-003898,E0581,Operations,2025-07-07,Supplies,16.41,E0915,Paid
EXP-004113,E0602,Operations,2025-07-07,Training,41.87,E0919,Paid
EXP-004343,E0621,Operations,2025-07-07,Training,97.47,E0922,Paid
EXP-004715,E0653,Operations,2025-07-07,Accommodation,23.45,E0936,Paid
EXP-004752,E0656,Operations,2025-07-07,Meals,18.22,E0920,Paid
EXP-004877,E0669,Operations,2025-07-07,Supplies,92.55,E0900,Paid
EXP-004930,E0673,Operations,2025-07-07,Accommodation,35.85,E0909,Paid
EXP-005464,E0720,Operations,2025-07-07,Supplies,115.98,E0920,Paid
EXP-005836,E0753,Operations,2025-07-07,Travel,64.86,E0932,Paid
EXP-006180,E0781,Operations,2025-07-07,Supplies,14.25,E0936,Paid
EXP-006508,E0807,Operations,2025-07-07,Travel,129.75,E0907,Paid
EXP-007436,E0883,Operations,2025-07-07,Meals,30.57,E0898,Paid
EXP-007537,E0891,Operations,2025-07-07,Accommodation,232.24,E0912,Paid
EXP-007727,E0907,Operations,2025-07-07,Meals,198.35,E0938,Paid
EXP-007866,E0916,Operations,2025-07-07,Meals,124.98,E0001,Paid
EXP-008376,E0957,Sales,2025-07-07,Supplies,68.9,E1032,Paid
EXP-008827,E0992,Sales,2025-07-07,Accommodation,143.45,E1060,Paid
EXP-009709,E1064,Sales,2025-07-07,Accommodation,47.51,E1053,Paid
EXP-009875,E1078,Sales,2025-07-07,Travel,48.54,E1102,Paid
EXP-010126,E1097,Sales,2025-07-07,Client entertainment,122.01,E1030,Paid
EXP-010382,E1125,Facilities,2025-07-07,Training,150.24,E1121,Paid
EXP-010395,E1128,Facilities,2025-07-07,Accommodation,200.33,E1121,Paid
EXP-000086,E0018,Finance,2025-07-08,Client entertainment,138.87,E0210,Paid
EXP-000492,E0091,Finance,2025-07-08,Supplies,175.08,E0193,Paid
EXP-000493,E0091,Finance,2025-07-08,Training,211.63,E0193,Paid
EXP-000617,E0113,Finance,2025-07-08,Accommodation,57.0,E0191,Paid
EXP-000640,E0117,Finance,2025-07-08,Supplies,67.45,E0190,Paid
EXP-000782,E0142,Finance,2025-07-08,Training,144.25,E0198,Paid
EXP-000929,E0173,Finance,2025-07-08,Travel,45.12,E0202,Paid
EXP-000974,E0180,Finance,2025-07-08,Travel,102.93,E0208,Paid
EXP-001072,E0193,Finance,2025-07-08,Training,21.75,E0192,Paid
EXP-001174,E0218,Procurement,2025-07-08,Client entertainment,82.01,E0275,Paid
EXP-001260,E0236,Procurement,2025-07-08,Accommodation,110.04,E0275,Paid
EXP-001392,E0258,Procurement,2025-07-08,Client entertainment,78.86,E0270,Paid
EXP-001465,E0271,Procurement,2025-07-08,Training,138.06,E0267,Paid
EXP-001744,E0322,Human Resources,2025-07-08,Training,57.97,E0347,Paid
EXP-002254,E0413,IT,2025-07-08,Meals,17.69,E0379,Paid
EXP-002470,E0456,IT,2025-07-08,Travel,136.04,E0379,Paid
EXP-002836,E0495,Operations,2025-07-08,Supplies,19.78,E0900,Paid
EXP-002974,E0506,Operations,2025-07-08,Supplies,54.61,E0899,Paid
EXP-005461,E0720,Operations,2025-07-08,Training,671.18,E0920,Paid
EXP-006054,E0770,Operations,2025-07-08,Training,80.14,E0912,Paid
EXP-006393,E0798,Operations,2025-07-08,Supplies,18.9,E0932,Paid
EXP-007097,E0854,Operations,2025-07-08,Accommodation,31.43,E0919,Paid
EXP-007298,E0873,Operations,2025-07-08,Meals,75.28,E0914,Paid
EXP-007826,E0913,Operations,2025-07-08,Meals,212.17,E0927,Paid
EXP-008918,E0999,Sales,2025-07-08,Client entertainment,233.8,E0992,Paid
EXP-010220,E1104,Sales,2025-07-08,Travel,85.35,E1056,Paid
EXP-010225,E1104,Sales,2025-07-08,Supplies,76.66,E1056,Paid
EXP-010945,E0413,IT,2025-07-08,Meals,17.69,E0379,Paid
EXP-000299,E0056,Finance,2025-07-09,Training,101.24,E0210,Paid
EXP-000338,E0063,Finance,2025-07-09,Meals,162.02,E0199,Paid
EXP-000709,E0131,Finance,2025-07-09,Meals,18.12,E0200,Paid
EXP-001508,E0278,Procurement,2025-07-09,Client entertainment,197.99,E0276,Paid
EXP-002711,E0486,Operations,2025-07-09,Client entertainment,382.32,E0912,Paid
EXP-003103,E0518,Operations,2025-07-09,Training,739.61,E0902,Paid
EXP-003302,E0535,Operations,2025-07-09,Travel,93.72,E0897,Paid
EXP-003877,E0580,Operations,2025-07-09,Client entertainment,5.4,E0912,Paid
EXP-003944,E0586,Operations,2025-07-09,Client entertainment,210.61,E0898,Paid
EXP-004165,E0610,Operations,2025-07-09,Supplies,193.75,E0907,Paid
EXP-004188,E0611,Operations,2025-07-09,Training,230.93,E0908,Paid
EXP-004480,E0632,Operations,2025-07-09,Client entertainment,55.32,E0911,Paid
EXP-004525,E0637,Operations,2025-07-09,Travel,222.64,E0933,Paid
EXP-005271,E0700,Operations,2025-07-09,Meals,13.54,E0902,Paid
EXP-005991,E0766,Operations,2025-07-09,Training,54.69,E0900,Paid
EXP-007617,E0898,Operations,2025-07-09,Accommodation,48.85,E0903,Paid
EXP-007663,E0903,Operations,2025-07-09,Meals,200.2,E0931,Paid
EXP-008497,E0965,Sales,2025-07-09,Training,82.97,E0976,Paid
EXP-008564,E0971,Sales,2025-07-09,Accommodation,69.0,E1063,Paid
EXP-008591,E0973,Sales,2025-07-09,Accommodation,123.37,E0986,Paid
EXP-009493,E1047,Sales,2025-07-09,Meals,44.99,E1071,Paid
EXP-009559,E1053,Sales,2025-07-09,Training,53.87,E0987,Paid
EXP-009604,E1057,Sales,2025-07-09,Meals,340.6,E0958,Paid
EXP-009738,E1066,Sales,2025-07-09,Training,173.88,E1052,Paid
EXP-009911,E1080,Sales,2025-07-09,Meals,73.77,E1048,Paid
EXP-010111,E1097,Sales,2025-07-09,Meals,184.41,E1030,Paid
EXP-010300,E1110,Legal,2025-07-09,Client entertainment,75.98,E1117,Paid
EXP-000292,E0054,Finance,2025-07-10,Supplies,93.29,E0203,Paid
EXP-000358,E0067,Finance,2025-07-10,Meals,33.94,E0204,Paid
EXP-002668,E0483,Operations,2025-07-10,Training,51.77,E0919,Paid
EXP-002676,E0483,Operations,2025-07-10,Accommodation,215.66,E0919,Paid
EXP-003037,E0512,Operations,2025-07-10,Client entertainment,127.91,E0903,Paid
EXP-003059,E0514,Operations,2025-07-10,Accommodation,252.74,E0907,Paid
EXP-003293,E0534,Operations,2025-07-10,Supplies,346.84,E0925,Paid
EXP-003632,E0559,Operations,2025-07-10,Travel,28.9,E0917,Paid
EXP-003876,E0580,Operations,2025-07-10,Training,222.22,E0912,Paid
EXP-003940,E0585,Operations,2025-07-10,Accommodation,229.28,E0902,Paid
EXP-003951,E0586,Operations,2025-07-10,Meals,72.8,E0898,Paid
EXP-004055,E0595,Operations,2025-07-10,Meals,60.56,E0935,Paid
EXP-005255,E0699,Operations,2025-07-10,Accommodation,78.88,E0931,Paid
EXP-005539,E0725,Operations,2025-07-10,Training,107.62,E0917,Paid
EXP-005613,E0732,Operations,2025-07-10,Training,64.26,E0923,Paid
EXP-006649,E0818,Operations,2025-07-10,Training,474.76,E0931,Paid
EXP-006777,E0830,Operations,2025-07-10,Supplies,149.59,E0917,Paid
EXP-006786,E0830,Operations,2025-07-10,Client entertainment,181.83,E0917,Paid
EXP-007060,E0852,Operations,2025-07-10,Client entertainment,33.14,E0914,Paid
EXP-008183,E0941,Sales,2025-07-10,Training,135.27,E1024,Paid
EXP-008375,E0957,Sales,2025-07-10,Supplies,95.46,E1032,Paid
EXP-008767,E0986,Sales,2025-07-10,Supplies,27.96,E1055,Paid
EXP-008849,E0993,Sales,2025-07-10,Meals,235.11,E1048,Paid
EXP-008989,E1006,Sales,2025-07-10,Accommodation,402.58,E0948,Paid
EXP-009432,E1042,Sales,2025-07-10,Accommodation,155.57,E0965,Paid
EXP-009655,E1060,Sales,2025-07-10,Meals,72.67,E1069,Paid
EXP-009952,E1084,Sales,2025-07-10,Travel,75.03,E1041,Paid
EXP-010138,E1098,Sales,2025-07-10,Client entertainment,45.17,E1042,Paid
EXP-010741,E1194,Facilities,2025-07-10,Meals,204.66,E1121,Paid
EXP-000332,E0063,Finance,2025-07-11,Training,634.66,E0199,Paid
EXP-000580,E0107,Finance,2025-07-11,Client entertainment,151.83,E0199,Paid
EXP-001133,E0208,Finance,2025-07-11,Travel,413.72,E0203,Paid
EXP-001169,E0217,Procurement,2025-07-11,Travel,112.9,E0275,Paid
EXP-001604,E0292,Procurement,2025-07-11,Accommodation,229.49,E0268,Paid
EXP-002378,E0437,IT,2025-07-11,Meals,223.12,E0379,Paid
EXP-003239,E0528,Operations,2025-07-11,Supplies,120.64,E0930,Paid
EXP-003591,E0557,Operations,2025-07-11,Travel,284.07,E0897,Paid
EXP-004023,E0593,Operations,2025-07-11,Meals,40.32,E0938,Paid
EXP-004212,E0612,Operations,2025-07-11,Meals,208.0,E0922,Paid
EXP-004297,E0618,Operations,2025-07-11,Client entertainment,155.54,E0906,Paid
EXP-004733,E0653,Operations,2025-07-11,Client entertainment,34.34,E0936,Paid
EXP-005554,E0727,Operations,2025-07-11,Travel,316.36,E0906,Paid
EXP-005584,E0730,Operations,2025-07-11,Supplies,91.79,E0900,Paid
EXP-005629,E0734,Operations,2025-07-11,Meals,130.74,E0921,Paid
EXP-006088,E0772,Operations,2025-07-11,Travel,211.02,E0910,Paid
EXP-007047,E0851,Operations,2025-07-11,Client entertainment,305.01,E0932,Paid
EXP-007281,E0871,Operations,2025-07-11,Training,64.89,E0899,Paid
EXP-007288,E0872,Operations,2025-07-11,Accommodation,35.1,E0937,Paid
EXP-007453,E0884,Operations,2025-07-11,Meals,223.81,E0901,Paid
EXP-007731,E0907,Operations,2025-07-11,Client entertainment,55.55,E0938,Paid
EXP-007770,E0910,Operations,2025-07-11,Training,187.29,E0917,Paid
EXP-008280,E0947,Sales,2025-07-11,Client entertainment,15.36,E1033,Paid
EXP-008471,E0964,Sales,2025-07-11,Client entertainment,237.47,E1105,Paid
EXP-008873,E0994,Sales,2025-07-11,Client entertainment,150.92,E0970,Paid
EXP-009051,E1010,Sales,2025-07-11,Client entertainment,909.35,E0980,Paid
EXP-009122,E1017,Sales,2025-07-11,Training,58.42,E1065,Paid
EXP-009301,E1032,Sales,2025-07-11,Client entertainment,87.0,E1066,Paid
EXP-010294,E1110,Legal,2025-07-11,Training,104.46,E1117,Paid
EXP-010614,E1173,Facilities,2025-07-11,Client entertainment,56.91,E1121,Paid
EXP-010681,E1183,Facilities,2025-07-11,Meals,37.34,E1121,Paid
EXP-010748,E1195,Facilities,2025-07-11,Training,77.67,E1121,Paid
EXP-000058,E0014,Finance,2025-07-12,Supplies,172.14,E0199,Paid
EXP-000391,E0073,Finance,2025-07-12,Meals,128.47,E0193,Paid
EXP-000394,E0073,Finance,2025-07-12,Accommodation,356.85,E0193,Paid
EXP-000499,E0093,Finance,2025-07-12,Travel,200.86,E0202,Paid
EXP-000517,E0095,Finance,2025-07-12,Client entertainment,174.47,E0208,Paid
EXP-000806,E0150,Finance,2025-07-12,Travel,193.14,E0192,Paid
EXP-000964,E0178,Finance,2025-07-12,Meals,114.31,E0194,Paid
EXP-001836,E0336,Human Resources,2025-07-12,Accommodation,39.44,E0378,Paid
EXP-001971,E0363,Human Resources,2025-07-12,Meals,66.3,E0350,Paid
EXP-002256,E0413,IT,2025-07-12,Training,73.73,E0379,Paid
EXP-002517,E0462,IT,2025-07-12,Client entertainment,108.99,E0379,Paid
EXP-002721,E0486,Operations,2025-07-12,Client entertainment,150.98,E0912,Paid
EXP-003868,E0579,Operations,2025-07-12,Accommodation,220.07,E0926,Paid
EXP-004079,E0597,Operations,2025-07-12,Travel,31.26,E0910,Paid
EXP-004274,E0616,Operations,2025-07-12,Travel,61.13,E0926,Paid
EXP-004330,E0621,Operations,2025-07-12,Meals,39.54,E0922,Paid
EXP-004563,E0639,Operations,2025-07-12,Supplies,51.0,E0921,Paid
EXP-004862,E0668,Operations,2025-07-12,Supplies,287.14,E0913,Paid
EXP-004989,E0678,Operations,2025-07-12,Supplies,80.56,E0918,Paid
EXP-005982,E0765,Operations,2025-07-12,Travel,34.44,E0912,Paid
EXP-006244,E0786,Operations,2025-07-12,Meals,160.54,E0901,Paid
EXP-006342,E0794,Operations,2025-07-12,Supplies,141.6,E0924,Paid
EXP-007201,E0863,Operations,2025-07-12,Meals,193.93,E0929,Paid
EXP-007415,E0882,Operations,2025-07-12,Accommodation,669.84,E0935,Paid
EXP-008212,E0943,Sales,2025-07-12,Travel,212.06,E0972,Paid
EXP-008601,E0973,Sales,2025-07-12,Supplies,49.13,E0986,Paid
EXP-008747,E0984,Sales,2025-07-12,Travel,90.0,E1104,Paid
EXP-008790,E0988,Sales,2025-07-12,Accommodation,118.47,E1030,Paid
EXP-008987,E1005,Sales,2025-07-12,Accommodation,130.78,E1068,Paid
EXP-009195,E1023,Sales,2025-07-12,Travel,221.54,E1042,Paid
EXP-009264,E1029,Sales,2025-07-12,Travel,40.57,E1099,Paid
EXP-010091,E1096,Sales,2025-07-12,Meals,42.51,E0968,Paid
EXP-010580,E1166,Facilities,2025-07-12,Supplies,299.35,E1121,Paid
EXP-010836,E0965,Sales,2025-07-12,Client entertainment,952.09,E0976,Paid
EXP-010872,E1033,Sales,2025-07-12,Client entertainment,926.51,E1044,Paid
EXP-000331,E0063,Finance,2025-07-13,Travel,100.41,E0199,Paid
EXP-000745,E0137,Finance,2025-07-13,Client entertainment,604.91,E0205,Paid
EXP-000786,E0143,Finance,2025-07-13,Accommodation,235.67,E0193,Paid
EXP-000861,E0162,Finance,2025-07-13,Supplies,56.17,E0193,Paid
EXP-001594,E0290,Procurement,2025-07-13,Client entertainment,62.42,E0272,Paid
EXP-002624,E0480,Operations,2025-07-13,Training,194.7,E0903,Paid
EXP-002990,E0508,Operations,2025-07-13,Meals,103.07,E0929,Paid
EXP-003403,E0543,Operations,2025-07-13,Meals,80.85,E0914,Paid
EXP-003767,E0569,Operations,2025-07-13,Accommodation,100.05,E0914,Paid
